Item,Quantity,Part number,Description,Name
1,2,,,1100-0011-0288 rev1
2,2,,,2307-0014-0028
3,10,,,1310-0016-4008
4,4,,,2106-4008-1200
5,2,,,1514-0010-0080
6,6,,,1201-0043-0002 rev2
7,14,,,1611-0514-4008
8,6,,,1514-0010-0040
9,2,,,2306-4008-0014
10,2,,,5203 Shaft
11,2,,,5203 gearbox
12,12,,,2405-0014-0054
13,36,,,2812-0004-0007_90576A103
14,2,,,1107-0006-0168 rev1
15,8,,,1108-0001-0002
16,4,,,1401-0043-0032
17,2,,,4103-0032-0043
18,4,1116-0024-0040,https://www.gobilda.com/1116-series-grid-plate-3-x-5-hole-24-x-40mm/,"1116 Series Grid Plate (3 x 5 Hole, 24 x 40mm) 1116-0024-0040"
19,4,,,1131-0004-0007 Compressed
20,44,Voir pour le nombre car avec les tensionneurs,,2800-0004-0012_90128A207
21,8,,,2401-0014-0012
22,32,,,2800-0004-0016
23,8,,,1611-0514-4008
24,8,,,1611-0514-4008
25,4,,,1514-0010-0060
26,32,,,2801-0004-0008
27,28,,,2800-0004-0014
28,2,1123-0048-0240,https://www.gobilda.com/1123-series-pattern-plate-1-x-9-hole-48-x-240mm/,"1123 Series Pattern Plate (1 x 9 Hole, 48 x 240mm) 1123-0048-0240"
29,4,,,1205-0001-0003
30,4,,,2803-0039-0022
31,3,,,1120-0001-0048
32,8,,,2807-0407-1000
33,28,,,2807-0407-0500
34,64,,,2800-0004-0011
35,8,,,2800-0004-0007
36,8,,,2800-0004-0009
37,4,,,1500-0001-0032
38,24,,,2800-0004-0005
39,8,,,2800-0004-0025
40,88,,,2400-0112-0001 Tread
41,24,,,2800-0004-0012
42,16,,,1106-0003-0024
43,2,,,1107-0021-0528 rev1
44,24,,,2804-0004-0012
45,4,,,1109-0024-0336
46,10,,,1109-0024-0288
47,8,,,1137-0001-0002
48,28,,,2805-0004-0038
49,53,,,2802-0004-0006
50,37,,,2802-0004-0014
51,4,,,1137-0002-0001
52,1,,,Droit-Contour
53,1,,,Droit-Devant
54,2,,,Orbite
55,2,,,Camera
56,2,,,Anneau
57,1,,,Droit-Plaque-Arrière
58,1,,,4100-0008-0100
59,4,,,1600-0516-0008
60,4,,,1605-0024-0008
61,39,,,2802-0004-0014
62,28,,,2802-0004-0010
63,2,,,Spacer 3mm
64,4,,,Spacer 5mm
65,4,,,1204-0002-0001
66,2,,,1801-0040-0001 (2.5mm thickness)
67,4,,,1102-0012-0096
68,2,,,2000-0025-0002
69,2,,,2000-0025-0002
70,2,,,1900-0025-0104
71,6,,,2913-0004-0241 housing
72,12,,,2802-0004-0018
73,6,,,1502-0006-0080
74,2,,,2802-0004-0050
75,4,,,1106-0011-0088
76,6,,,1502-0006-0001
77,20,,,1502-0006-0020
78,2,,,2802-0004-0016
79,32,,,2812-0004-0007
80,2,,,2808-0004-0060
81,4,,,1106-0023-0184
82,4,,,1203-0001-0001
83,14,,,1502-0006-0004
84,2,,,1502-0006-0010
85,6,,,2802-0004-0020
86,6,,,1502-0006-0060
87,4,,,2802-0004-0022
88,26,,,2802-0004-0012
89,1,,,Support_Tilt_1
90,1,,,Support_Tilt_2
91,1,,,Gauche-Contour
92,1,,,Gauche-Devant
